,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
filing_date,2023-11-14,2023-08-10,2023-05-12,2023-03-16,2022-11-14,2022-08-05,2022-05-05,2022-03-17,2021-11-08,2021-08-06,2021-05-07,2021-03-24,2020-11-12,2020-08-07,2020-05-12,2020-03-16,2019-11-12,2019-08-09,2019-05-09,2019-03-08,2018-11-07,2018-08-08,2018-05-09,2018-03-09,2017-11-07,2017-08-04,2017-05-03,2017-03-14,2016-11-04,2016-08-05,2016-05-13,2016-03-24,2015-12-16,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
nonCurrentLiabilitiesTotal,12223000.00,11013000.00,3569000.00,2874000.00,3181000.00,4477000.00,7957000.00,18185000.00,19193000.00,23974000.00,16702000.00,17571000.00,12827000.00,9833000.00,17422000.00,16419000.00,25475000.00,46010000.00,17118000.00,9574000.00,22353000.00,13332000.00,5211000.00,5731000.00,9059000.00,9101000.00,7519000.00,9984000.00,4215000.00,6570000.00,8014000.00,9623000.00,5577000.00,11106000.00,9867000.00,11897000.00,,,,
negativeGoodwill,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
warrants,,7086000.00,7233000.00,10193000.00,9778000.00,203327000.00,205320000.00,202456000.00,199793000.00,196569000.00,195070000.00,206828000.00,204164000.00,47178000.00,45909000.00,50385000.00,49699000.00,49668000.00,50781000.00,49800000.00,51119000.00,51307000.00,50604000.00,46230000.00,42119000.00,4085000.00,4050000.00,4230000.00,3999000.00,,3752000.00,5738000.00,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
capitalSurpluse,,999047000.00,999047000.00,999047000.00,999047000.00,990147000.00,989485000.00,990069000.00,992018000.00,993046000.00,999047000.00,999047000.00,999047000.00,1003450000.00,1003450000.00,1003450000.00,1006065000.00,1006065000.00,1008319000.00,1008319000.00,1010577000.00,1010577000.00,1010577000.00,1010505000.00,1009852000.00,1007990000.00,1007471000.00,1007027000.00,1006502000.00,,999644000.00,999000000.00,,,,,,,,
liabilitiesAndStockholdersEquity,926382000.00,933513000.00,942886000.00,927690000.00,986761000.00,1120015000.00,1284192000.00,1203336000.00,1434233000.00,1207951000.00,1171266000.00,1174545000.00,1100611000.00,926624000.00,904091000.00,1018443000.00,993125000.00,1004160000.00,994696000.00,950856000.00,1020989000.00,998928000.00,955343000.00,1006915000.00,979519000.00,926837000.00,917633000.00,952603000.00,924811000.00,802927000.00,812700000.00,836748000.00,730869000.00,766623000.00,696041000.00,754694000.00,,,,
cashAndShortTermInvestments,384214000.00,382382000.00,401776000.00,404463000.00,421933000.00,369237000.00,348629000.00,380044000.00,619772000.00,344264000.00,354725000.00,383962000.00,378273000.00,393781000.00,358594000.00,348588000.00,350934000.00,361564000.00,396020000.00,409564000.00,348887000.00,273770000.00,283972000.00,293112000.00,242302000.00,319528000.00,307651000.00,314093000.00,402403000.00,194726000.00,203239000.00,205750000.00,363055000.00,361082000.00,320373000.00,285530000.00,,,,
propertyPlantAndEquipmentGross,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
propertyPlantAndEquipmentNet,,,,,,,-3703000.00,-12094000.00,-15925000.00,-17889000.00,-13181000.00,-3519000.00,-3519000.00,-3519000.00,-3519000.00,-5523000.00,,-3519000.00,-10390000.00,-12941000.00,-827000.00,-1685000.00,-1241000.00,,-4346000.00,-3499000.00,-4506000.00,,-2014000.00,-9513000.00,-16611000.00,,-12086000.00,,,,,,,
accumulatedDepreciation,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
