,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,2018-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,
filing_date,2023-11-07,2023-08-08,2023-05-09,2023-03-15,2022-11-08,2022-08-09,2022-03-31,2022-03-17,2021-09-30,2021-06-30,2021-03-31,2021-03-18,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
sellingGeneralAdministrative,15056000.00,12599000.00,15143000.00,15138000.00,36464000.00,35899000.00,19011000.00,17926000.00,33632000.00,19367000.00,17582000.00,20096000.00,20273000.00,18999000.00,5882000.00,4920000.00,2302000.00,4089000.00,3296000.00,8768000.00,1984500.00,96400000.00,88000000.00,86700000.00,86900000.00,80200000.00,84500000.00,90900000.00,99800000.00,104700000.00,106700000.00,101200000.00,83600000.00,81200000.00,80900000.00,81100000.00,73800000.00,84700000.00,97100000.00,84800000.00,96600000.00,73100000.00,81100000.00,76100000.00,87500000.00,81300000.00,53300000.00,43700000.00,47600000.00,40300000.00,40400000.00,92000000.00,99300000.00,147100000.00,160800000.00,155300000.00,191100000.00,222800000.00,301800000.00,258500000.00,341200000.00,263800000.00,240100000.00,205600000.00,3969000.00
sellingAndMarketingExpenses,8035000.00,8329000.00,15351000.00,16176000.00,,,18370000.00,18603000.00,,15221000.00,13911000.00,9353000.00,,,2628000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfit,14127000.00,17964000.00,18402000.00,69309000.00,75026000.00,15025000.00,45969000.00,16240000.00,12645000.00,3639000.00,,25950000.00,,-25950000.00,,,,1962000.00,-22116000.00,,-29640500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29640500.00
reconciledDepreciation,793000.00,769000.00,694000.00,576000.00,572000.00,586000.00,594000.00,759000.00,658000.00,635000.00,578000.00,819000.00,489000.00,437000.00,443000.00,,354000.00,282000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit,-34990000.00,-37888000.00,-51572000.00,-10738000.00,6867000.00,-69411000.00,-40364000.00,-47591000.00,-67132000.00,-69532000.00,-49814000.00,-54209000.00,-18252000.00,-125456000.00,-43363000.00,-35292000.00,-30681000.00,-23887000.00,-25412000.00,,-31625000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31625000.00
ebitda,-34197000.00,-37119000.00,-48525000.00,-10386000.00,7439000.00,-70612000.00,-23956000.00,-46832000.00,-66474000.00,-68897000.00,-49236000.00,-53390000.00,-17763000.00,-125019000.00,-42920000.00,-34795000.00,-30327000.00,-23228000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depreciationAndAmortization,793000.00,769000.00,3047000.00,352000.00,572000.00,-1201000.00,16408000.00,759000.00,658000.00,635000.00,578000.00,819000.00,489000.00,437000.00,443000.00,497000.00,354000.00,659000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonOperatingIncomeNetOther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingIncome,-37404000.00,-39789000.00,-51572000.00,-10738000.00,6867000.00,-69411000.00,-40364000.00,-62781000.00,-57792000.00,-70482000.00,-70665000.00,-78001000.00,-52428000.00,-44949000.00,-43885000.00,-35732000.00,-32843000.00,-23887000.00,-25412000.00,-125941000.00,-31625000.00,16500000.00,25000000.00,13200000.00,5200000.00,18500000.00,5600000.00,,11000000.00,25900000.00,34800000.00,19200000.00,24100000.00,35300000.00,33500000.00,7800000.00,19100000.00,27500000.00,24600000.00,1400000.00,21100000.00,34700000.00,37100000.00,6000000.00,12300000.00,4600000.00,9400000.00,10200000.00,11000000.00,3800000.00,,,,,,,,,,70900000.00,162900000.00,176800000.00,116800000.00,67400000.00,-63477000.00
otherOperatingExpenses,51897000.00,59072000.00,70564000.00,80536000.00,79435000.00,86702000.00,86862000.00,79791000.00,70939000.00,74242000.00,70665000.00,78001000.00,52428000.00,44949000.00,43885000.00,35732000.00,32843000.00,25849000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interestExpense,12942000.00,15857000.00,10417000.00,9804000.00,11356000.00,8801000.00,9217000.00,9520000.00,4265000.00,2555000.00,2000000.00,2047000.00,1940000.00,897000.00,42000.00,51000.00,32000.00,36000.00,36500.00,,36500.00,6900000.00,6900000.00,6900000.00,6700000.00,6600000.00,6700000.00,8000000.00,6900000.00,7600000.00,8100000.00,5600000.00,4000000.00,4000000.00,4200000.00,4100000.00,2900000.00,6200000.00,3400000.00,3300000.00,3000000.00,3000000.00,2400000.00,2800000.00,2900000.00,2000000.00,3900000.00,,,,,,,,,,,,,,,,,,36500.00
taxProvision,-86000.00,-6610000.00,-262000.00,3967000.00,-711000.00,-947000.00,-1170000.00,-21971000.00,145000.00,240000.00,107000.00,126000.00,-3000.00,104000.00,100000.00,115000.00,268000.00,199000.00,,224000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000.00
interestIncome,3140000.00,2372000.00,2304000.00,1627000.00,273000.00,16000.00,18308000.00,20000.00,16000.00,15000.00,15000.00,100000.00,163000.00,195000.00,374000.00,218000.00,729000.00,1165000.00,,3069000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797000.00
netInterestIncome,-9802000.00,-13485000.00,-8113000.00,-8177000.00,-11083000.00,-8785000.00,9091000.00,-9500000.00,-4249000.00,-2540000.00,-1985000.00,-1947000.00,-1777000.00,-702000.00,332000.00,167000.00,697000.00,623000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.00,,,,,,,,,,,,,,,,,,,,,,,,,
nonRecurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incomeTaxExpense,-86000.00,-6610000.00,-262000.00,3967000.00,-711000.00,-947000.00,-1170000.00,-21971000.00,145000.00,240000.00,107000.00,126000.00,-3000.00,104000.00,100000.00,115000.00,268000.00,94000.00,99500.00,,74000.00,3000000.00,1900000.00,800000.00,1400000.00,400000.00,1400000.00,,,2900000.00,1900000.00,1500000.00,,2000000.00,2700000.00,1100000.00,,3100000.00,2600000.00,1300000.00,2400000.00,1500000.00,2300000.00,1000000.00,1300000.00,300000.00,500000.00,,,,,,100000.00,331600000.00,,,,,,,76700000.00,55400000.00,444900000.00,15300000.00,74000.00
