,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
filing_date,2023-09-30,2023-08-14,2023-05-15,2023-03-27,2022-11-02,2022-08-11,2022-05-13,2022-03-31,2021-11-15,2021-08-16,2021-05-17,2021-03-03,2020-11-06,2020-08-14,2020-05-11,2020-02-28,2019-11-06,2019-08-07,2019-05-08,2019-02-27,2018-11-07,2018-08-09,2018-05-08,2018-03-01,2017-11-07,2017-08-08,2017-05-09,2017-03-01,2016-11-07,2016-08-08,2016-05-09,2016-02-29,2015-11-09,2015-08-10,2015-05-07,2015-03-02,2014-11-05,2014-07-22,2014-04-29,2014-02-20,2013-10-22,2013-07-23,2013-05-09,2013-02-07
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
otherItems,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
incomeTaxExpense,28000.00,16000.00,35000.00,192000.00,146000.00,7000.00,5000.00,2098000.00,-786000.00,-333000.00,2294000.00,1860000.00,-523000.00,-653000.00,183000.00,165000.00,885000.00,-781000.00,69000.00,66000.00,17000.00,42000.00,250000.00,224000.00,127000.00,300000.00,57000.00,703000.00,141000.00,873000.00,-11000.00,114000.00,-97000.00,194000.00,143000.00,668000.00,853000.00,-191000.00,766000.00,-17952000.00,14176000.00,5227000.00,-984000.00,0.00
totalRevenue,-10541000.00,639000.00,766000.00,960000.00,-440000.00,35000.00,0.00,8156000.00,0.00,0.00,0.00,54331000.00,0.02,4297000.00,3952000.00,4127000.00,3834000.00,3898000.00,3903000.00,4024000.00,3934000.00,3916000.00,4052000.00,4077000.00,4429000.00,4643000.00,5011000.00,4415000.00,5102000.00,5654000.00,4820000.00,24142000.00,58523000.00,76519000.00,88915000.00,122211000.00,109102000.00,116042000.00,74520000.00,41626000.00,19585000.00,8884000.00,1515000.00,0.00
totalOperatingExpenses,,1974000.00,1823000.00,-5140628.00,2628.00,2786000.00,2352000.00,2188000.00,4310000.00,3266000.00,2638000.00,2143000.00,2014000.00,2697000.00,2629000.00,2653000.00,1488000.00,2236000.00,1381000.00,1138000.00,1467000.00,1310000.00,1299000.00,5924000.00,6712000.00,6343000.00,6528000.00,6414000.00,6032000.00,6097000.00,5771000.00,68876000.00,38264000.00,33007000.00,57977000.00,31285000.00,42762000.00,13452000.00,7976000.00,10669000.00,5790000.00,3453000.00,2905000.00,0.00
costOfRevenue,,1909000.00,1864000.00,-2481363.00,1563.00,1555000.00,924000.00,1557000.00,878000.00,-345000.00,3545000.00,3896000.00,1668000.00,4826000.00,4544000.00,4154000.00,4219000.00,4238000.00,4418000.00,3977000.00,4605000.00,4524000.00,4214000.00,19393000.00,5035000.00,5281000.00,4687000.00,17369000.00,2986000.00,2589000.00,2348000.00,14357000.00,13477000.00,16246000.00,18593000.00,18593000.00,21226000.00,16925000.00,11437000.00,7122000.00,191000.00,1242000.00,392000.00,0.00
totalOtherIncomeExpenseNet,,16000.00,-1239000.00,-893000.00,-435000.00,7000.00,-309000.00,-2548000.00,-1295000.00,4840000.00,8156000.00,12134000.00,70000.00,-5262000.00,-353000.00,1306000.00,-765000.00,5084000.00,1125000.00,-3133000.00,1000000.00,893000.00,-2653000.00,287000.00,285000.00,258000.00,256000.00,1039000.00,-47724000.00,55000.00,-2368000.00,-1298000.00,14194000.00,13237000.00,11483000.00,3035000.00,1586000.00,-14824000.00,-11329000.00,-6305000.00,-1985000.00,193000.00,42000.00,0.00
discontinuedOperations,,,,,,,,,,,6213000.00,39698000.00,14843000.00,14843000.00,14843000.00,14843000.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
netIncomeFromContinuingOps,-13470000.00,-3814000.00,-2988000.00,-4119000.00,-3986000.00,-4132000.00,-3698000.00,-8391000.00,-5697000.00,2228000.00,-357000.00,-39000.00,-3089000.00,-7835000.00,-3757000.00,-1539000.00,-3523000.00,3289000.00,-840000.00,-4290000.00,-1155000.00,-1067000.00,-4364000.00,-1784000.00,-2125000.00,-1742000.00,-1318000.00,-1663000.00,-1071000.00,-1261000.00,-940000.00,-74720000.00,-7315000.00,13835000.00,19312000.00,63405000.00,55374000.00,81012000.00,48741000.00,21247000.00,11152000.00,3728000.00,-1824000.00,0.00
netIncomeApplicableToCommonShares,,-3814000.00,-2988000.00,,-3986000.00,-4132000.00,1424000.00,-8414000.00,-5697000.00,2228000.00,5856000.00,39659000.00,11754000.00,-7835000.00,-3799000.00,-1590000.00,-3575000.00,3237000.00,-891000.00,-4341000.00,-1207000.00,-1119000.00,-4415000.00,-1887000.00,-2177000.00,-1793000.00,-1318000.00,-1663000.00,-1071000.00,-1261000.00,-940000.00,-8941000.00,-1980000.00,743000.00,6888000.00,21923000.00,17698000.00,13230000.00,6828000.00,-397000.00,-2557000.00,-1499000.00,-840000.00,0.00
preferredStockAndOtherAdjustments,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
