,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
date,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
filing_date,2023-10-17,2023-07-25,2023-04-25,2023-01-10,2022-10-19,2022-07-27,2022-04-26,2022-01-12,2021-10-20,2021-07-29,2021-04-28,2021-01-13,2020-10-21,2020-08-04,2020-05-13,2020-01-08,2019-10-16,2019-07-24,2019-04-24,2019-01-15,2018-10-18,2018-07-25,2018-05-11,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
longTermDebtTotal,7810800000.00,7825000000.00,7834400000.00,7091700000.00,7106800000.00,7121200000.00,7136300000.00,7915700000.00,8129100000.00,8145800000.00,8101200000.00,8328000000.00,8460000000.00,8484500000.00,8493300000.00,8615900000.00,8628600000.00,9688600000.00,10437600000.00,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesOther,1997000000.00,1989000000.00,2008400000.00,2083400000.00,2092900000.00,2176400000.00,2115400000.00,2456300000.00,2524100000.00,2635300000.00,2659500000.00,2498000000.00,2232400000.00,1999200000.00,2042800000.00,1851100000.00,1869200000.00,1870900000.00,,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesTotal,16182400000.00,16094100000.00,16128700000.00,16086700000.00,16122600000.00,16237100000.00,16749900000.00,18164200000.00,18314700000.00,18379300000.00,18441500000.00,18347300000.00,18240300000.00,18042600000.00,16552700000.00,16608800000.00,16623300000.00,17212000000.00,14173200000.00,14050900000.00,14980200000.00,15299400000.00,15384500000.00,,16132500000.00,16273600000.00,16643000000.00,16912500000.00,17191100000.00,17125800000.00,16974300000.00,17250400000.00,16978600000.00,17250600000.00,17391900000.00,,,
negativeGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warrants,,,45700000.00,579300000.00,612200000.00,635400000.00,1278500000.00,1599100000.00,1599100000.00,1599100000.00,1599100000.00,1599100000.00,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalSurpluse,2089600000.00,2068300000.00,2072700000.00,2077000000.00,2022500000.00,1998200000.00,2032200000.00,1946100000.00,1936100000.00,1911100000.00,1898900000.00,1883800000.00,1875800000.00,1837100000.00,1824300000.00,1823500000.00,1818700000.00,1813100000.00,1814200000.00,,,,,,,,,,,,,,,,,,,
liabilitiesAndStockholdersEquity,26322500000.00,25817200000.00,26168200000.00,30214700000.00,28754100000.00,28220000000.00,28123000000.00,27936100000.00,27344300000.00,26781900000.00,26598000000.00,26319300000.00,26469600000.00,25987800000.00,24735100000.00,24991600000.00,24698500000.00,24981200000.00,20776600000.00,20981700000.00,21816800000.00,21820200000.00,21812300000.00,,22334500000.00,23183200000.00,23755000000.00,23451500000.00,23773900000.00,24426900000.00,23770000000.00,24354800000.00,24007500000.00,24469400000.00,25761800000.00,,,
cashAndShortTermInvestments,266100000.00,225200000.00,455800000.00,4412300000.00,3392400000.00,3213100000.00,2902000000.00,2661000000.00,2849800000.00,2173800000.00,1717000000.00,1836100000.00,2389600000.00,2022200000.00,470700000.00,406400000.00,435300000.00,662100000.00,926100000.00,462600000.00,1661900000.00,1237000000.00,670300000.00,,572200000.00,1063400000.00,1219200000.00,806100000.00,930600000.00,1476200000.00,579700000.00,727800000.00,777700000.00,989300000.00,1125800000.00,,,
propertyPlantAndEquipmentGross,,,,,,,,,15062000000.00,15152400000.00,15428300000.00,14829300000.00,14879200000.00,14875500000.00,9211000000.00,15058100000.00,15063100000.00,14943500000.00,9861300000.00,10143300000.00,10256900000.00,10556400000.00,10770300000.00,,11277500000.00,11340800000.00,11511800000.00,11451500000.00,11652400000.00,11729400000.00,11846200000.00,11831400000.00,11752000000.00,11886100000.00,12024200000.00,,,
