,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
filing_date,2023-09-30,2023-06-30,2023-05-16,2023-03-02,2022-09-30,2022-06-30,2022-05-16,2021-12-31,2021-09-30,2021-06-30,2021-05-17,2020-12-31,2020-09-30,2020-06-30,2020-06-15,2019-12-31,2019-09-30,2019-06-30,2019-05-01,2018-12-31,2018-09-30,2018-07-02,2018-05-16,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-05-02,2015-12-31,2015-09-30,2015-06-30,2015-04-30,2014-12-31,2014-09-30,2014-06-30,2014-04-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
currency_symbol,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN
netReceivables,1293300000.00,1238689000.00,1269203000.00,1220820000.00,1191098000.00,1037982000.00,874617000.00,874617000.00,1166543000.00,1216066000.00,1159688000.00,1159688000.00,1008576000.00,768321000.00,1117852000.00,1117852000.00,1801786000.00,1801150000.00,1370838000.00,1370838000.00,2166903000.00,2118788000.00,2351494000.00,2118788000.00,2509008000.00,2320726000.00,2662023000.00,2351494000.00,3157055000.00,3104474000.00,3178047000.00,3178047000.00,3253002000.00,3349678000.00,2665146000.00,2665146000.00,2601657000.00,2382449000.00,1890368000.00,1890368000.00,2078067000.00,1894656000.00,1414604000.00,1212728000.00,,,
longTermDebt,1059407000.00,1067338000.00,1100482000.00,1052238000.00,1092292000.00,1540744000.00,1089060000.00,1481036000.00,1172245000.00,1174081000.00,1169476000.00,1319749000.00,1240982000.00,1242988000.00,1263184000.00,1150984000.00,1221198000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,393932000.00,388581000.00,367255000.00,386234000.00,428495000.00,478842000.00,488326000.00,488326000.00,544223000.00,554896000.00,552000000.00,552000000.00,621444000.00,614411000.00,552573000.00,552573000.00,585109000.00,594781000.00,514047000.00,514047000.00,646424000.00,770711000.00,1104293000.00,770711000.00,949700000.00,991632000.00,1015745000.00,1104293000.00,1234343000.00,1185075000.00,1159154000.00,1159154000.00,1070086000.00,873193000.00,833570000.00,833570000.00,884421000.00,867461000.00,762797000.00,762797000.00,788148000.00,764904000.00,752870000.00,747416000.00,,,
accountsPayable,1256642000.00,1012792000.00,1088735000.00,1074984000.00,1035639000.00,923875000.00,975158000.00,975158000.00,1069395000.00,1163447000.00,1097167000.00,1161569000.00,1000957000.00,1022925000.00,1137611000.00,1137611000.00,1257659000.00,1197835000.00,1135472000.00,1135472000.00,1419813000.00,1508220000.00,1356834000.00,1508220000.00,1354213000.00,1113778000.00,1068118000.00,1356834000.00,1712931000.00,1544253000.00,1713590000.00,1713590000.00,1279301000.00,1324027000.00,1261876000.00,1261876000.00,1119987000.00,1120336000.00,1016982000.00,1016982000.00,1007317000.00,899004000.00,850450000.00,980021000.00,,,
totalPermanentEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noncontrollingInterestInConsolidatedEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulatedOtherComprehensiveIncome,87397000.00,74011000.00,66949000.00,66144000.00,90605000.00,91387000.00,26038000.00,26038000.00,-6117000.00,-14465000.00,-7249000.00,-7249000.00,-26228000.00,-26517000.00,-15521000.00,-15521000.00,-22421000.00,-10642000.00,-8635000.00,-8635000.00,-5635000.00,-7686000.00,-5471000.00,-7686000.00,-2247000.00,-21884000.00,-11945000.00,-5471000.00,23078000.00,2556000.00,32926000.00,32926000.00,757000.00,53445000.00,18116000.00,18116000.00,125236000.00,140335000.00,130080000.00,130080000.00,1179676000.00,122117000.00,114945000.00,103295000.00,,,
additionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonStockTotalEquity,,,,,,,,,,871918000.00,871918000.00,871918000.00,,871918000.00,871918000.00,871918000.00,,871918000.00,729434000.00,729434000.00,,660054000.00,660054000.00,660054000.00,,660054000.00,660054000.00,660054000.00,,660054000.00,660054000.00,660054000.00,,660054000.00,660054000.00,660054000.00,,660054000.00,660054000.00,660054000.00,,558284000.00,558284000.00,558284000.00,,,
