,0
DDS,Department Stores
DDT,
DE,Farm & Heavy Construction Machinery
DEA,REIT - Office
DEC,Oil & Gas E&P
DECK,Footwear & Accessories
DEI,REIT - Office
DELL,Computer Hardware
DEO,Beverages - Wineries & Distilleries
DESP,Travel Services
DFH,Residential Construction
DFIN,Capital Markets
DFS,Credit Services
DG,Discount Stores
DGX,Diagnostics & Research
DHI,Residential Construction
DHR,Diagnostics & Research
DHT,Oil & Gas Midstream
DHX,Software - Application
DIN,Restaurants
DINO,Oil & Gas Refining & Marketing
DIS,Entertainment
DIT,Food Distribution
DK,Oil & Gas Refining & Marketing
DKL,Oil & Gas Refining & Marketing
DKS,Specialty Retail
DLA,Apparel Manufacturing
DLB,Specialty Business Services
DLNG,Oil & Gas Midstream
DLNG-PA,Other
DLNG-PB,Oil & Gas Midstream
DLR,REIT - Specialty
DLR-PJ,REIT - Specialty
DLR-PK,REIT - Specialty
DLR-PL,REIT - Specialty
DLX,Advertising Agencies
DM,Computer Hardware
DMF,Asset Management
DMYY,Shell Companies
DMYY-WT,
DNA,Biotechnology
DNA-WT,
DNB,Financial Data & Stock Exchanges
DNMR,Specialty Chemicals
DNN,Uranium
DNOW,Oil & Gas Equipment & Services
DO,Oil & Gas Drilling
DOC,REIT - Healthcare Facilities
DOCN,Software - Infrastructure
DOCS,Health Information Services
DOLE,Farm Products
DOMA,Insurance - Property & Casualty
DOOR,Building Products & Equipment
DOUG,Real Estate Services
DOV,Specialty Industrial Machinery
DOW,Chemicals
DPSI,Software - Application
DPZ,Restaurants
DQ,Semiconductor Equipment & Materials
DRD,Gold
DRH,REIT - Hotel & Motel
DRH-PA,REIT - Hotel & Motel
DRI,Restaurants
DRQ,Oil & Gas Equipment & Services
DSAQ,Shell Companies
DSS,Packaging & Containers
DSX,Marine Shipping
DSX-PB,Marine Shipping
DSX-WS,
DT,Software - Application
DTB,
DTC,Internet Retail
DTE,Utilities - Regulated Electric
DTF,Asset Management
DTG,
DTLA-P,REIT-Office
DTM,Oil & Gas Midstream
DTW,
DUK,Utilities - Regulated Electric
DUK-PA,Utilities - Regulated Electric
DUKB,
DV,Software - Application
DVA,Medical Care Facilities
DVN,Oil & Gas E&P
DX,REIT - Mortgage
DX-PC,REIT - Mortgage
